0,-70,-70
1,-3,-3
2,65,108
3,-77,88
4,-3,113
5,136,267
6,-69,227
7,-25,211
8,63,265
9,-31,235
10,378,601
11,-36,553
12,-32,507
13,54,543
14,185,712
15,175,873
16,322,1182
17,-6,1163
18,28,1177
19,67,1231
20,144,1362
21,184,1534
22,1020,120
23,125,240
24,-41,201
25,-15,174
26,100,261
27,-75,174
28,-13909,331
29,172,489
30,-14,462
31,42,490
32,18,494
33,94,575
34,35,598
35,115,703
36,-50,648
37,-47,589
38,-4,572
39,-26,533
40,23,542
41,-18,511
42,-89,408
43,135,528
44,-22,492
45,196,672
46,-86,572
47,-73,481
48,-50,412
49,-42,351
50,87,417
51,-41,356
52,-83,252
53,156,386
54,-34,330
55,-63,245
56,724,724
57,699,699
58,16,697
59,34,719
60,-84,628
61,-55,556
62,-16,502
63,-19,442
64,3,403
65,-40,322
66,25,303
67,-18,243
68,92,293
69,-65,186
70,-47,97
71,-35,16
72,-27,-63
73,10,-108
74,-20,-181
75,-29,-262
76,148,-169
77,69,-153
