0,336,336
1,448,448
2,35,561
3,184,823
4,74,975
5,-72,981
6,42,1101
7,27,1206
8,-33,1250
9,322,1645
10,-75,1643
11,22,1715
12,-43,1718
13,370,2121
14,-36,2118
15,307,2442
16,88,2547
17,490,3063
18,8,3097
19,-61,3061
20,-17745,639
21,155,808
22,-16,813
23,-57,765
24,107,875
25,-4,875
26,46,924
27,29,956
28,-36,924
29,152,1079
30,-38,1044
31,52,1099
32,-3,1099
33,-25,1077
34,-41,1038
35,-2,1036
36,-29,1007
37,359,1366
38,53,1419
39,-5,1414
40,-58,1355
41,-28,1325
42,-41,1282
43,54,1334
44,68,1400
45,29,1427
46,-41,1384
47,-6,1376
48,-13,1361
49,-60,1298
50,16,1310
51,47,1354
52,-11,1340
53,3,1340
54,499,499
55,463,463
56,12,449
57,6,435
58,62,482
59,4,476
60,46,512
61,-55,447
62,474,911
63,-21,880
64,54,917
65,-23,881
66,346,1207
67,54,1241
68,-68,1157
69,-44,1090
70,-33,1032
71,-70,936
72,-36,873
73,45,881
74,-58,791
75,18,768
76,29,761
77,3,733
78,84,791
